city,x,y
Edirne, -589.0, 215.0
Kırklareli, -534.0, 262.0
Tekirdağ, -538.0, 203.0
Istanbul, -439.0, 207.0
Kocaeli, -359.0, 189.0
Sakarya, -325.0, 172.0
Yalova, -425.0, 155.0
Çanakkale, -583.0, 106.0
Balıkesir, -508.0, 73.0
Bursa, -438.0, 118.0
Bilecik, -356.0, 120.0
Izmir, -547.0, -48.0
Manisa, -510.0, -2.0
Kütahya, -394.0, 50.0
Uşak, -412.0, -20.0
Afyonkarahisar, -327.0, -11.0
Aydın, -513.0, -90.0
Denizli, -425.0, -92.0
Muğla, -500.0, -148.0
Burdur, -373.0, -118.0
Isparta, -311.0, -71.0
Antalya, -332.0, -165.0
Mersin, -120.0, -186.0
Adana, -12.0, -124.0
Osmaniye, 61.0, -136.0
Hatay, 59.0, -208.0
Kahramanmaraş, 98.0, -76.0
Bolu, -257.0, 151.0
Düzce, -289.0, 185.0
Zonguldak, -251.0, 220.0
Karabük, -200.0, 206.0
Bartın, -215.0, 255.0
Kastamonu, -135.0, 248.0
Sinop, -35.0, 261.0
Çorum, -55.0, 153.0
Samsun, 34.0, 210.0
Amasya, 19.0, 169.0
Ordu, 134.0, 184.0
Tokat, 69.0, 135.0
Giresun, 208.0, 167.0
Trabzon, 288.0, 182.0
Gümüşhane, 279.0, 141.0
Bayburt, 330.0, 130.0
Rize, 366.0, 185.0
Artvin, 430.0, 214.0
Ardahan, 510.0, 211.0
Kars, 508.0, 141.0
Iğdır, 563.0, 101.0
Ağrı, 506.0, 70.0
Van, 547.0, -39.0
Hakkari, 581.0, -117.0
Bitlis, 469.0, -25.0
Erzurum, 400.0, 102.0
Muş, 422.0, 12.0
Bingöl, 352.0, 22.0
Erzincan, 242.0, 78.0
Tunceli, 263.0, 33.0
Elazığ, 250, -14.0
Malatya, 170.0, -20.0
Şırnak, 470.0, -123.0
Siirt, 446.0, -76.0
Batman, 400.0, -84.0
Mardin, 344.0, -130.0
Diyarbakır, 313.0, -62.0
Şanlıurfa, 221.0, -144.0
Adıyaman, 175.0, -95.0
Gaziantep, 118.0, -144.0
Kilis, 113.0, -176.0
Eskişehir, -324.0, 78.0
Ankara, -214.0, 95.0
Çankırı, -150.0, 166.0
Kırıkkale, -126.0, 87.0
Yozgat, -26.0, 77.0
Kırşehir, -96.0, 43.0
Konya, -225.0, -66.0
Aksaray, -115.0, -32.0
Niğde, -50.0, -85.0
Karaman, -140.0, -146.0
Nevşehir, -50.0, -3.0
Kayseri, 20.0, -9.0
Sivas, 100.0, 72.0
